date,DAU,New Users
1/8/2018,925319,12132
2/8/2018,941861,12780
3/8/2018,950185,13175
4/8/2018,961085,13714
5/8/2018,955833,14056
6/8/2018,969282,15882
7/8/2018,961934,17148
8/8/2018,945548,16783
9/8/2018,965236,15107
10/8/2018,980526,14400
11/8/2018,1004986,14460
12/8/2018,1004112,14077
13/08/2018,1066493,15092
14/08/2018,1022186,12017
15/08/2018,996838,11337
16/08/2018,1022253,12551
17/08/2018,1045007,14880
18/08/2018,1084296,14768
19/08/2018,1033821,14370
20/08/2018,1052911,14785
21/08/2018,1029900,15594
22/08/2018,1024822,16190
23/08/2018,1038937,16134
24/08/2018,1078709,17648
25/08/2018,1067547,15293
26/08/2018,1100180,16721
27/08/2018,1096843,15597
28/08/2018,1087955,15536
29/08/2018,1112895,17451
30/08/2018,1113822,17044
31/08/2018,1089717,16323
1/9/2018,1112007,14482
2/9/2018,1128333,14733
3/9/2018,1121718,14313
4/9/2018,1107401,14737
5/9/2018,1145423,16133
6/9/2018,1128374,14512
7/9/2018,1121939,12936
8/9/2018,1115115,14769
9/9/2018,1120663,12616
10/9/2018,1114786,11961
11/9/2018,1088361,11710
12/9/2018,1083279,11920
13/09/2018,1270870,18498
14/09/2018,1250150,19770
15/09/2018,1214037,17790
16/09/2018,1199204,15897
17/09/2018,1216694,15566
18/09/2018,1211134,15334
19/09/2018,1182891,13757
20/09/2018,1173672,13843
21/09/2018,1153557,17004
22/09/2018,1161652,17123
23/09/2018,1182191,20036
24/09/2018,1192510,19058
25/09/2018,1186608,18914
26/09/2018,1174324,16486
27/09/2018,1184150,17955
28/09/2018,1211946,18758
29/09/2018,1190127,18991
30/09/2018,1218764,17980
